split_ratio,rows,train_rows,validation_rows,numeric_present_rate,numeric_candidates,numeric_features,categorical_columns,one_hot_levels,final_feature_count,model,mcc,pr_auc,precision,recall,runtime_seconds,status,error
80/20,1183747,946997,236750,0.0025,908,80,20,50,283,LightGBM,0.2101981065567245,0.1270760359707516,0.2151714077315827,0.2143895348837209,99.57781990000512,completed,
90/10,1183747,1065372,118375,0.02,631,80,20,50,283,LightGBM,0.2092059712386419,0.127634631418026,0.2153392330383481,0.2122093023255813,80.06932550005149,completed,
90/10,1183747,1065372,118375,0.0025,908,80,20,50,283,LightGBM,0.2075726087113963,0.1270526577256738,0.2135493372606774,0.2107558139534883,99.63478359999137,completed,
90/10,1183747,1065372,118375,0.001,968,80,20,50,283,LightGBM,0.2066157064668108,0.1254841638574301,0.2116788321167883,0.2107558139534883,68.9545828999253,completed,
80/20,1183747,946997,236750,0.005,837,80,20,50,283,LightGBM,0.2062606411169522,0.1259216669729102,0.2123893805309734,0.2093023255813953,80.42615429998841,completed,
80/20,1183747,946997,236750,0.01,756,80,20,50,283,LightGBM,0.2060412149498661,0.1241784552982622,0.2112573099415204,0.2100290697674418,140.2334581000032,completed,
80/20,1183747,946997,236750,0.001,968,80,20,50,283,LightGBM,0.2058042063100423,0.1251353666577227,0.2107950401167031,0.2100290697674418,202.9536403999664,completed,
75/25,1183747,887810,295937,0.001,968,80,20,50,283,LightGBM,0.2049734760085981,0.1217121380877658,0.2127022168963451,0.2063953488372093,52.2135064000031,completed,
80/20,1183747,946997,236750,0.02,631,80,20,50,283,LightGBM,0.204941679624515,0.120115319078157,0.2091172214182344,0.2100290697674418,146.87463189999107,completed,
90/10,1183747,1065372,118375,0.01,741,80,20,50,283,LightGBM,0.2041558746552263,0.1279152211174002,0.2096774193548387,0.2078488372093023,78.73828449996654,completed,
75/25,1183747,887810,295937,0.005,837,80,20,50,283,LightGBM,0.2029661552877133,0.1215748931209764,0.211608222490931,0.2034883720930232,68.06494940002449,completed,
90/10,1183747,1065372,118375,0.02,631,80,20,50,283,XGBoost,0.202291933807845,0.1160625709251664,0.2060518731988472,0.2078488372093023,91.32320230000188,completed,
75/25,1183747,887810,295937,0.0025,908,80,20,50,283,LightGBM,0.2017359550864406,0.1245093420517038,0.2080378250591016,0.2046511627906976,51.24442509992514,completed,
80/20,1183747,946997,236750,0.02,631,80,20,50,283,XGBoost,0.2006010140693574,0.1095385460152926,0.2055393586005831,0.2049418604651162,159.98830869991798,completed,
75/25,1183747,887810,295937,0.01,741,80,20,50,283,LightGBM,0.2002787735282744,0.1183769733857069,0.2068761114404267,0.202906976744186,67.01223689992912,completed,
80/20,1183747,946997,236750,0.01,756,80,20,50,283,XGBoost,0.1997312317188614,0.1099619340238118,0.2011251758087201,0.2078488372093023,153.56596679997165,completed,
90/10,1183747,1065372,118375,0.005,837,80,20,50,283,LightGBM,0.1996837186690877,0.1252789146924448,0.203757225433526,0.2049418604651162,77.37161480006762,completed,
80/20,1183747,946997,236750,0.005,837,80,20,50,283,XGBoost,0.1996837186690877,0.1132108128233969,0.203757225433526,0.2049418604651162,107.57345430005807,completed,
75/25,1183747,887810,295937,0.02,642,80,20,50,283,LightGBM,0.1990669765053044,0.1137557588842568,0.2061978545887962,0.2011627906976744,63.33250889996998,completed,
75/25,1183747,887810,295937,0.02,642,80,20,50,283,XGBoost,0.1989737701211277,0.106160165275733,0.2054470100651273,0.2017441860465116,74.94783269998152,completed,
80/20,1183747,946997,236750,0.0025,908,80,20,50,283,XGBoost,0.1975145523355954,0.1160781776085803,0.1995753715498938,0.2049418604651162,194.9225725999568,completed,
80/20,1183747,946997,236750,0.001,968,80,20,50,283,XGBoost,0.1972349889073382,0.1157063529203855,0.1997157071783937,0.2042151162790697,154.07344990002457,completed,
90/10,1183747,1065372,118375,0.01,741,80,20,50,283,XGBoost,0.197126900996629,0.1170303339228249,0.1974965229485396,0.2063953488372093,145.68003690009937,completed,
90/10,1183747,1065372,118375,0.001,968,80,20,50,283,XGBoost,0.1958525915321007,0.1208385258379045,0.1977401129943503,0.2034883720930232,99.02220010000748,completed,
75/25,1183747,887810,295937,0.005,837,80,20,50,283,XGBoost,0.1957880449815533,0.1076645131124945,0.2003484320557491,0.2005813953488372,73.0675104999682,completed,
75/25,1183747,887810,295937,0.001,968,80,20,50,283,XGBoost,0.195683187197088,0.109311968091601,0.2007001166861143,0.2,65.38996399997268,completed,
90/10,1183747,1065372,118375,0.005,837,80,20,50,283,XGBoost,0.1947015792910167,0.1107235488917517,0.1968838526912181,0.2020348837209302,105.96424549992662,completed,
75/25,1183747,887810,295937,0.0025,908,80,20,50,283,XGBoost,0.1946787332840728,0.108232754199507,0.199302730970366,0.1994186046511628,62.17570729996078,completed,
75/25,1183747,887810,295937,0.01,741,80,20,50,283,XGBoost,0.194354828271174,0.1034415835608754,0.196489241223103,0.2017441860465116,81.32265399990138,completed,
90/10,1183747,1065372,118375,0.0025,908,80,20,50,283,XGBoost,0.1916653616016536,0.1165108593566784,0.1951219512195122,0.1976744186046511,121.9410642000148,completed,
80/20,1183747,946997,236750,0.01,756,80,20,50,283,CatBoost,0.186048096287995,0.0725816672501646,0.1904417089065894,0.1911337209302325,143.31133920000866,completed,
80/20,1183747,946997,236750,0.005,837,80,20,50,283,CatBoost,0.184306624437127,0.0739458908283123,0.1884476534296029,0.1896802325581395,138.87952449999284,completed,
80/20,1183747,946997,236750,0.02,631,80,20,50,283,CatBoost,0.1830517766929017,0.0713525000768537,0.1860299358517462,0.1896802325581395,221.93077980005185,completed,
90/10,1183747,1065372,118375,0.01,741,80,20,50,283,CatBoost,0.1828111734746816,0.0771132444244,0.1862464183381088,0.188953488372093,145.0162779999664,completed,
90/10,1183747,1065372,118375,0.02,631,80,20,50,283,CatBoost,0.1826727062670526,0.0790043002870517,0.1859799713876967,0.188953488372093,123.2243282001,completed,
