split,data_type,line,station,station_key,feature_count,rows,missing_values,observed_values,possible_values,completeness_pct,missing_pct
test,categorical,0,1,L0_S1,4,1183748,4734894,98,4734992,0.0021,99.9979
test,categorical,0,2,L0_S2,18,1183748,21303198,4266,21307464,0.02,99.98
test,categorical,0,3,L0_S3,18,1183748,21307446,18,21307464,0.0001,99.9999
test,categorical,0,4,L0_S4,6,1183748,7102082,406,7102488,0.0057,99.9943
test,categorical,0,6,L0_S6,10,1183748,11837400,80,11837480,0.0007,99.9993
test,categorical,0,9,L0_S9,39,1183748,46152413,13759,46166172,0.0298,99.9702
test,categorical,0,10,L0_S10,39,1183748,46150110,16062,46166172,0.0348,99.9652
test,categorical,0,11,L0_S11,26,1183748,30777344,104,30777448,0.0003,99.9997
test,categorical,0,14,L0_S14,18,1183748,21306528,936,21307464,0.0044,99.9956
test,categorical,0,15,L0_S15,9,1183748,10653732,0,10653732,0.0,100.0
test,categorical,0,16,L0_S16,6,1183748,7102172,316,7102488,0.0044,99.9956
test,categorical,0,18,L0_S18,10,1183748,11837460,20,11837480,0.0002,99.9998
test,categorical,0,21,L0_S21,45,1183748,53265481,3179,53268660,0.006,99.994
test,categorical,0,22,L0_S22,45,1183748,53266460,2200,53268660,0.0041,99.9959
test,categorical,0,23,L0_S23,30,1183748,35512410,30,35512440,0.0001,99.9999
test,categorical,1,24,L1_S24,660,1183748,775094075,6179605,781273680,0.791,99.209
test,categorical,1,25,L1_S25,567,1183748,669545674,1639442,671185116,0.2443,99.7557
test,categorical,2,26,L2_S26,53,1183748,56600029,6138615,62738644,9.7844,90.2156
test,categorical,2,27,L2_S27,53,1183748,59508578,3230066,62738644,5.1484,94.8516
test,categorical,2,28,L2_S28,53,1183748,62479344,259300,62738644,0.4133,99.5867
test,categorical,3,29,L3_S29,63,1183748,25176600,49399524,74576124,66.2404,33.7596
test,categorical,3,30,L3_S30,204,1183748,241482304,2288,241484592,0.0009,99.9991
test,categorical,3,31,L3_S31,8,1183748,9469944,40,9469984,0.0004,99.9996
test,categorical,3,32,L3_S32,3,1183748,3508871,42373,3551244,1.1932,98.8068
test,categorical,3,35,L3_S35,18,1183748,21306706,758,21307464,0.0036,99.9964
test,categorical,3,36,L3_S36,8,1183748,9469984,0,9469984,0.0,100.0
test,categorical,3,38,L3_S38,6,1183748,7102476,12,7102488,0.0002,99.9998
test,categorical,3,39,L3_S39,8,1183748,9469984,0,9469984,0.0,100.0
test,categorical,3,42,L3_S42,24,1183748,28409744,208,28409952,0.0007,99.9993
test,categorical,3,43,L3_S43,24,1183748,28405504,4448,28409952,0.0157,99.9843
test,categorical,3,44,L3_S44,8,1183748,9454592,15392,9469984,0.1625,99.8375
test,categorical,3,46,L3_S46,3,1183748,3551244,0,3551244,0.0,100.0
test,categorical,3,47,L3_S47,33,1183748,38402023,661661,39063684,1.6938,98.3062
test,categorical,3,49,L3_S49,21,1183748,24857987,721,24858708,0.0029,99.9971
test,date,0,0,L0_S0,12,1183748,6110928,8094048,14204976,56.9804,43.0196
test,date,0,1,L0_S1,2,1183748,1018445,1349051,2367496,56.9822,43.0178
test,date,0,2,L0_S2,9,1183748,7599204,3054528,10653732,28.671,71.329
test,date,0,3,L0_S3,9,1183748,7632495,3021237,10653732,28.3585,71.6415
test,date,0,4,L0_S4,2,1183748,1696922,670574,2367496,28.3242,71.6758
test,date,0,5,L0_S5,2,1183748,1687324,680172,2367496,28.7296,71.2704
test,date,0,6,L0_S6,5,1183748,4220505,1698235,5918740,28.6925,71.3075
test,date,0,7,L0_S7,5,1183748,4240430,1678310,5918740,28.3559,71.6441
