line,station,station_key,categorical_feature_count,date_feature_count,numeric_feature_count,total_feature_count,has_numeric,has_categorical,has_date
0,0,L0_S0,0,12,12,24,True,False,True
0,1,L0_S1,4,2,2,8,True,True,True
0,2,L0_S2,18,9,9,36,True,True,True
0,3,L0_S3,18,9,9,36,True,True,True
0,4,L0_S4,6,2,2,10,True,True,True
0,5,L0_S5,0,2,2,4,True,False,True
0,6,L0_S6,10,5,3,18,True,True,True
0,7,L0_S7,0,5,3,8,True,False,True
0,8,L0_S8,0,4,3,7,True,False,True
0,9,L0_S9,39,13,12,64,True,True,True
0,10,L0_S10,39,13,12,64,True,True,True
0,11,L0_S11,26,13,12,51,True,True,True
0,12,L0_S12,0,12,12,24,True,False,True
0,13,L0_S13,0,2,2,4,True,False,True
0,14,L0_S14,18,9,9,36,True,True,True
0,15,L0_S15,9,9,9,27,True,True,True
0,16,L0_S16,6,2,2,10,True,True,True
0,17,L0_S17,0,2,2,4,True,False,True
0,18,L0_S18,10,5,3,18,True,True,True
0,19,L0_S19,0,5,3,8,True,False,True
0,20,L0_S20,0,4,3,7,True,False,True
0,21,L0_S21,45,15,14,74,True,True,True
0,22,L0_S22,45,15,14,74,True,True,True
0,23,L0_S23,30,15,14,59,True,True,True
1,24,L1_S24,660,288,229,1177,True,True,True
1,25,L1_S25,567,333,284,1184,True,True,True
2,26,L2_S26,53,26,14,93,True,True,True
2,27,L2_S27,53,26,14,93,True,True,True
2,28,L2_S28,53,26,14,93,True,True,True
3,29,L3_S29,63,63,53,179,True,True,True
3,30,L3_S30,204,68,68,340,True,True,True
3,31,L3_S31,8,4,4,16,True,True,True
3,32,L3_S32,3,1,1,5,True,True,True
3,33,L3_S33,0,10,10,20,True,False,True
3,34,L3_S34,0,5,4,9,True,False,True
3,35,L3_S35,18,8,8,34,True,True,True
3,36,L3_S36,8,8,8,24,True,True,True
3,37,L3_S37,0,6,4,10,True,False,True
3,38,L3_S38,6,3,3,12,True,True,True
3,39,L3_S39,8,4,4,16,True,True,True
3,40,L3_S40,0,8,8,16,True,False,True
3,41,L3_S41,0,18,14,32,True,False,True
3,42,L3_S42,24,8,0,32,False,True,True
3,43,L3_S43,24,8,8,40,True,True,True
3,44,L3_S44,8,8,8,24,True,True,True
3,45,L3_S45,0,5,5,10,True,False,True
3,46,L3_S46,3,1,0,4,False,True,True
3,47,L3_S47,33,11,11,55,True,True,True
3,48,L3_S48,0,7,6,13,True,False,True
3,49,L3_S49,21,7,7,35,True,True,True
3,50,L3_S50,0,7,7,14,True,False,True
3,51,L3_S51,0,5,4,9,True,False,True
