feature,correlation_with_response,absolute_correlation
present_L3_S32,0.07514225223483502,0.07514225223483502
present_L3_S33,-0.044182847551075446,0.044182847551075446
present_L3_S34,-0.03624742381717145,0.03624742381717145
present_L1_S24,0.013913949485401027,0.013913949485401027
station_count,-0.013275357129017482,0.013275357129017482
line_2_present,0.012115065163016326,0.012115065163016326
line_count,0.011514720309618053,0.011514720309618053
present_L2_S26,0.010608652609345392,0.010608652609345392
line_0_present,-0.010606390118189441,0.010606390118189441
line_1_present,0.010282643955109127,0.010282643955109127
first_station,0.009466068884859149,0.009466068884859149
present_L3_S31,-0.007512298725152157,0.007512298725152157
present_L0_S1,-0.006962283743786178,0.006962283743786178
present_L0_S8,-0.006959245616634681,0.006959245616634681
present_L0_S0,-0.006911846807724989,0.006911846807724989
present_L2_S27,0.004422319194685672,0.004422319194685672
present_L0_S6,-0.00405483166355696,0.00405483166355696
present_L3_S38,0.004029918626457986,0.004029918626457986
present_L0_S5,-0.00398034464966108,0.00398034464966108
present_L0_S2,-0.0038694241300179784,0.0038694241300179784
present_L0_S3,-0.0037773823905745893,0.0037773823905745893
present_L0_S4,-0.003662190194236064,0.003662190194236064
present_L0_S7,-0.00359531940521582,0.00359531940521582
present_L0_S11,-0.003315830200567258,0.003315830200567258
present_L0_S9,-0.0032669972527906124,0.0032669972527906124
present_L1_S25,-0.0026954671703114143,0.0026954671703114143
present_L0_S15,-0.0024080331172075613,0.0024080331172075613
present_L3_S51,-0.0023241547157133178,0.0023241547157133178
present_L0_S10,-0.002320282072707588,0.002320282072707588
present_L0_S20,-0.0023133556815182693,0.0023133556815182693
present_L0_S13,-0.0023061528534185833,0.0023061528534185833
present_L0_S12,-0.002305526474040701,0.002305526474040701
present_L3_S48,-0.00229279462698371,0.00229279462698371
present_L3_S39,-0.0022886466170744493,0.0022886466170744493
present_L3_S47,-0.00225095588618103,0.00225095588618103
present_L3_S45,-0.0022445890968158196,0.0022445890968158196
present_L3_S40,-0.002239604842408706,0.002239604842408706
present_L3_S41,-0.002239327899467831,0.002239327899467831
present_L3_S37,0.002229938424652477,0.002229938424652477
present_L3_S30,0.0021410631431689805,0.0021410631431689805
present_L3_S29,0.001944615529032972,0.001944615529032972
present_L3_S44,-0.0019294244352262558,0.0019294244352262558
present_L0_S17,-0.0019278739830960719,0.0019278739830960719
last_station,-0.0018874983783116717,0.0018874983783116717
present_L3_S36,0.0018738226718837724,0.0018738226718837724
present_L0_S18,-0.0018201738499243401,0.0018201738499243401
present_L0_S22,-0.001782011956751583,0.001782011956751583
present_L0_S23,-0.0014401249284873498,0.0014401249284873498
present_L2_S28,0.0014028966797774924,0.0014028966797774924
present_L3_S49,-0.0013817870360624104,0.0013817870360624104
present_L3_S43,-0.0012993794310966456,0.0012993794310966456
present_L3_S50,-0.0012952350879349961,0.0012952350879349961
present_L0_S19,-0.0012587553675236047,0.0012587553675236047
present_L0_S16,-0.001157791578117943,0.001157791578117943
date_completeness_pct,0.0011177784446927013,0.0011177784446927013
observed_date_values,0.0011177772516275798,0.0011177772516275798
present_L0_S14,-0.0007339248145907974,0.0007339248145907974
present_L3_S35,-0.0006998657998505132,0.0006998657998505132
present_L0_S21,-0.000530728124726221,0.000530728124726221
line_3_present,-0.00028765937879402935,0.00028765937879402935
present_L3_S42,-0.00027215587454667146,0.00027215587454667146
present_L3_S46,-7.026992910607346e-05,7.026992910607346e-05
possible_date_values,,
