source,metric,response,count,mean,median,std,p10,p90
flow,station_count,0,1176868,12.152135158743377,13.0,2.4083675458972786,8.0,14.0
flow,station_count,1,6879,11.731210931821487,13.0,2.6491015504983673,8.0,14.0
flow,line_count,0,1176868,2.3003132041996213,2.0,0.4701515538686876,2.0,3.0
flow,line_count,1,6879,2.371565634539904,2.0,0.4969049654128388,2.0,3.0
flow,observed_date_values,0,1176868,205.26103097373706,207.0,32.124090019782464,175.0,249.0
flow,observed_date_values,1,6879,205.73353685128652,207.0,33.2361700977936,174.0,249.0
flow,date_completeness_pct,0,1176868,17.75614356994629,17.906574249267578,2.778900623321533,15.138408660888672,21.539793014526367
flow,date_completeness_pct,1,6879,17.797019958496094,17.906574249267578,2.875101327896118,15.051902770996094,21.539793014526367
time,first_event_time,0,1176288,848.9296264648438,879.8400268554688,469.18475341796875,198.77000427246094,1476.3199462890625
time,first_event_time,1,6877,760.3375244140625,704.5,422.3116149902344,223.72000122070312,1400.3199462890625
time,last_event_time,0,1176288,859.6293334960938,888.6400146484375,468.5528564453125,200.94000244140625,1479.949951171875
time,last_event_time,1,6877,774.251708984375,744.1300048828125,421.7679748535156,227.8260040283203,1408.4200439453125
time,process_duration,0,1176288,10.69974136352539,3.69000244140625,16.980432510375977,0.9100341796875,35.1099853515625
time,process_duration,1,6877,13.914176940917969,4.92999267578125,21.96592140197754,0.9799957275390625,42.554039001464844
