duration_bin,part_count,failure_count,failure_rate,avg_first_event_time,avg_observed_date_values,failure_rate_pct
"(-0.001, 0.61]",59500,313,0.005260504201680672,704.17566,176.66080672268907,0.5260504201680672
"(0.61, 0.91]",59477,310,0.005212098794491989,728.0471,180.98932360408224,0.5212098794491988
"(0.91, 1.2]",58588,270,0.004608452242780092,787.7686,182.02194988734894,0.46084522427800917
"(1.2, 1.46]",59301,244,0.0041146017773730625,889.5579,190.31660511627123,0.41146017773730625
"(1.46, 1.71]",59064,266,0.004503589326831911,869.16174,189.4657998103752,0.4503589326831911
"(1.71, 1.92]",59051,257,0.004352170157999018,847.44464,193.19860798293,0.4352170157999018
"(1.92, 2.13]",59265,303,0.005112629713996456,857.1649,196.29686999071964,0.5112629713996456
"(2.13, 2.49]",59741,306,0.005122110443414071,924.65063,196.26586431429,0.5122110443414071
"(2.49, 3.05]",58445,290,0.004961930019676619,882.3489,199.99560270339634,0.49619300196766186
"(3.05, 3.7]",59390,369,0.006213167199865297,890.23883,208.3485772015491,0.6213167199865297
"(3.7, 4.57]",59003,376,0.006372557327593512,938.97546,210.33267799942377,0.6372557327593512
"(4.57, 5.89]",59109,373,0.006310375746502225,816.4813,202.68316161667428,0.6310375746502225
"(5.89, 7.14]",59406,314,0.005285661381005286,869.69684,202.25630407702926,0.5285661381005285
"(7.14, 8.9]",58911,414,0.0070275500331007795,822.3379,207.0813260681367,0.702755003310078
"(8.9, 11.77]",59374,391,0.006585374069458012,889.2793,210.27555832519283,0.6585374069458012
"(11.77, 16.72]",58935,382,0.0064817171460083145,922.59045,223.9131415966743,0.6481717146008315
"(16.72, 25.79]",59130,282,0.004769152714358194,981.9955,241.34324370032132,0.47691527143581935
"(25.79, 35.2]",59162,254,0.004293296372671647,963.62415,242.62714242250092,0.4293296372671647
"(35.2, 42.85]",59160,491,0.008299526707234618,759.7134,234.28930020283977,0.8299526707234618
"(42.85, 699.2]",59153,672,0.011360370564468413,623.53046,219.12197183574798,1.1360370564468414
