path_rank,path_signature,part_count,failure_count,failure_rate_pct
1,L1_S24 > L2_S26 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,58379,394,0.6749002209698693
2,L1_S24 > L2_S26 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,56718,383,0.675270637187489
3,L1_S25 > L2_S26 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,23438,89,0.3797252325283727
4,L1_S25 > L2_S26 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,22561,76,0.3368645006870263
5,L1_S24 > L2_S27 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,21188,111,0.5238814423258448
6,L1_S24 > L2_S27 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,20316,127,0.6251230557196299
7,L1_S25 > L2_S27 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10916,35,0.32063026749725176
8,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10613,37,0.3486290398567794
9,L1_S25 > L2_S27 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10609,34,0.3204826091054765
10,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10536,48,0.45558086560364464
11,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10530,40,0.3798670465337132
12,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10512,48,0.45662100456621
13,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10498,46,0.4381787007048962
14,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10483,43,0.4101879233043976
15,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S7 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10467,65,0.6209993312314894
16,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S7 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10464,44,0.4204892966360856
17,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10432,32,0.3067484662576687
18,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10427,43,0.4123909082190467
19,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10416,36,0.3456221198156682
20,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10413,48,0.4609622587150677
21,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10390,51,0.4908565928777671
22,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10383,46,0.4430318790330348
23,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S7 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10380,40,0.3853564547206166
24,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10324,53,0.5133669120495932
25,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10320,51,0.4941860465116279
26,L0_S0 > L0_S1 > L0_S2 > L0_S5 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10301,47,0.4562663819046695
27,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10283,43,0.41816590489156863
28,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S7 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10244,49,0.4783287778211636
29,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10241,32,0.3124694854018162
30,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S6 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10230,45,0.43988269794721413
31,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S7 > L0_S8 > L0_S9 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10229,46,0.44970182813569265
32,L0_S0 > L0_S1 > L0_S3 > L0_S5 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10206,54,0.5291005291005291
33,L0_S0 > L0_S1 > L0_S3 > L0_S4 > L0_S6 > L0_S8 > L0_S11 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S36 > L3_S37,10186,38,0.3730610642057726
34,L0_S0 > L0_S1 > L0_S2 > L0_S4 > L0_S6 > L0_S8 > L0_S10 > L3_S29 > L3_S30 > L3_S33 > L3_S34 > L3_S35 > L3_S37,10182,37,0.3633863681005696
