line,station,station_key,presence_column,part_count,failure_count,failure_rate,failure_rate_pct,overall_failure_rate_pct,failure_rate_lift,categorical_feature_count,date_feature_count,numeric_feature_count,total_feature_count,excess_failure_rate_pct,risk_score
3,32,L3_S32,present_L3_S32,24543,1106,0.045063765635822844,4.506376563582284,0.581120796927046,7.754629652581536,3,1,1,5,3.9252557666552383,17.23158881308136
1,24,L1_S24,present_L1_S24,183727,1521,0.008278587251737633,0.8278587251737632,0.581120796927046,1.4245897402940353,660,288,229,1177,0.24673792824671725,1.2988711359265157
2,26,L2_S26,present_L2_S26,227011,1695,0.0074665985348727594,0.7466598534872759,0.581120796927046,1.2848616973193814,53,26,14,93,0.16553905656022994,0.8866349510147068
3,38,L3_S38,present_L3_S38,27142,212,0.007810772971778056,0.7810772971778056,0.581120796927046,1.3440876687052419,6,3,3,12,0.19995650025075962,0.8865355069233575
2,27,L2_S27,present_L2_S27,120729,822,0.006808637527023333,0.6808637527023333,0.581120796927046,1.171638936866011,53,26,14,93,0.09974295577528736,0.5068749100142629
2,28,L2_S28,present_L2_S28,9583,67,0.006991547532088072,0.6991547532088073,0.581120796927046,1.2031143213354645,53,26,14,93,0.11803395628176128,0.46995237258785766
3,36,L3_S36,present_L3_S36,569032,3391,0.005959243065416356,0.5959243065416355,0.581120796927046,1.0254740661371442,8,8,8,24,0.014803509614589538,0.08519622132372953
3,37,L3_S37,present_L3_S37,1120394,6556,0.005851512949908693,0.5851512949908693,0.581120796927046,1.0069357319255074,0,6,4,10,0.0040304980638232735,0.024381977193561628
3,30,L3_S30,present_L3_S30,1119811,6551,0.0058500943462780775,0.5850094346278077,0.581120796927046,1.006691616822741,204,68,68,340,0.0038886377007617545,0.023522932251689353
3,29,L3_S29,present_L3_S29,1119629,6546,0.005846579536614361,0.584657953661436,0.581120796927046,1.006086783940782,63,63,53,179,0.0035371567343900345,0.021396523326849073
