feature,non_null_count,missing_count,missing_rate,present_rate,value_corr_with_response,abs_value_corr,missing_failure_rate,present_failure_rate,missing_signal_abs_diff,global_response_rate_reference,selection_score
L1_S24_F867,12026,1171721,0.989840734548852,0.0101592654511478,-0.2271246870765025,0.2271246870765025,0.0058068430966074,0.0062364876101779,0.0004296445135704,0.0057804551246729,0.2271246870765025
L1_S24_F1723,66500,1117247,0.9438224553050608,0.056177544694939,-0.1853001325476128,0.1853001325476128,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.1853001325476128
L1_S24_F839,12026,1171721,0.989840734548852,0.0101592654511478,-0.1404754290493935,0.1404754290493935,0.0058068430966074,0.0062364876101779,0.0004296445135704,0.0057804551246729,0.1404754290493935
L1_S24_F1695,66500,1117247,0.9438224553050608,0.056177544694939,-0.1343570006584619,0.1343570006584619,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.1343570006584619
L1_S24_F1632,66583,1117164,0.9437523389710808,0.0562476610289192,-0.1273636020835187,0.1273636020835187,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.1273636020835187
L1_S24_F1604,66583,1117164,0.9437523389710808,0.0562476610289192,-0.1046192919745121,0.1046192919745121,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.1046192919745121
L1_S24_F1758,66500,1117247,0.9438224553050608,0.056177544694939,-0.093544595623901,0.093544595623901,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.093544595623901
L1_S24_F902,12026,1171721,0.989840734548852,0.0101592654511478,-0.0846248769509903,0.0846248769509903,0.0058068430966074,0.0062364876101779,0.0004296445135704,0.0057804551246729,0.0846248769509903
L1_S24_F1667,66583,1117164,0.9437523389710808,0.0562476610289192,-0.0836428319938937,0.0836428319938937,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.0836428319938937
L1_S24_F1846,132922,1050825,0.8877108030685611,0.1122891969314389,-0.0627110916825793,0.0627110916825793,0.0054119382390026,0.0089676652472878,0.0035557270082851,0.0057804551246729,0.0627110916825793
L2_S28_F3259,9583,1174164,0.9919045201381714,0.0080954798618285,-0.0617983644532501,0.0617983644532501,0.0058015745670962,0.006991547532088,0.0011899729649918,0.0057804551246729,0.0617983644532501
L1_S24_F1002,11879,1171868,0.9899649164897568,0.0100350835102432,0.0516042895287035,0.0516042895287035,0.0058137947277338,0.0055560232342789,0.0002577714934548,0.0057804551246729,0.0516042895287035
L1_S24_F1298,13563,1170184,0.988542315207557,0.011457684792443,-0.0498373888361498,0.0498373888361498,0.0057819966774455,0.0083314900833149,0.0025494934058693,0.0057804551246729,0.0498373888361498
L1_S24_F1581,66583,1117164,0.9437523389710808,0.0562476610289192,0.0478100298875784,0.0478100298875784,0.005614215996935,0.0091164411336226,0.0035022251366875,0.0057804551246729,0.0478100298875784
L2_S28_F3292,9583,1174164,0.9919045201381714,0.0080954798618285,0.0475269251846478,0.0475269251846478,0.0058015745670962,0.006991547532088,0.0011899729649918,0.0057804551246729,0.0475269251846478
L1_S24_F1672,66500,1117247,0.9438224553050608,0.056177544694939,0.0464702646372003,0.0464702646372003,0.0056120088037828,0.0091578947368421,0.0035458859330592,0.0057804551246729,0.0464702646372003
L1_S24_F988,11834,1171913,0.9900029313696256,0.0099970686303745,0.0446869739496571,0.0446869739496571,0.0058212512362265,0.0048166300490113,0.0010046211872152,0.0057804551246729,0.0446869739496571
L1_S24_F930,11834,1171913,0.9900029313696256,0.0099970686303745,-0.0446356826681088,0.0446356826681088,0.0058212512362265,0.0048166300490113,0.0010046211872152,0.0057804551246729,0.0446356826681088
L1_S24_F1844,132922,1050825,0.8877108030685611,0.1122891969314389,-0.0424012765592642,0.0424012765592642,0.0054119382390026,0.0089676652472878,0.0035557270082851,0.0057804551246729,0.0424012765592642
