line,station,feature_family,feature_count,total_mean_abs_shap,avg_mean_abs_shap,top_driver,top_driver_type,recommended_action
timing,timing_level,timing,8,0.4753904292811107,0.05942380366013884,start_time,Timing or delay signal,"Review cycle-time, waiting-time, and queue behavior for products following this path."
L3,line_level,line_timing,7,0.29253952410575523,0.041791360586536465,line_3_end_time,Line-level timing signal,"Review cycle-time, waiting-time, and queue behavior for products following this path."
L1,L1_S24,raw_measurement,62,0.25898531205013536,0.004177182452421538,L1_S24_F1844,Numeric process measurement,"Review measurement distributions, tooling condition, calibration records, and recent process changes for this station."
L0,line_level,line_timing,7,0.1919971003702846,0.027428157195754945,line_0_start_time,Line-level timing signal,"Review cycle-time, waiting-time, and queue behavior for products following this path."
path,path_level,path_or_family,11,0.08192226860157337,0.007447478963779397,path_complexity_score,Manufacturing path signal,Use this as a cross-station signal; compare affected product families and paths before station-specific action.
L3,L3_S32,raw_measurement_missingness,3,0.0656061188376277,0.02186870627920923,L3_S32_F3850__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L1,line_level,line_timing,7,0.04696993515902508,0.006709990737003583,line_1_end_time,Line-level timing signal,"Review cycle-time, waiting-time, and queue behavior for products following this path."
L2,line_level,line_timing,7,0.03840393055932964,0.005486275794189949,line_2_start_time,Line-level timing signal,"Review cycle-time, waiting-time, and queue behavior for products following this path."
other,other,categorical_or_other,3,0.02744706929232985,0.009149023097443284,observed_date_values,Categorical or derived signal,Use this as a cross-station signal; compare affected product families and paths before station-specific action.
L1,L1_S25,raw_measurement,8,0.02221684562776359,0.0027771057034704488,L1_S25_F2990,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L2,L2_S27,raw_measurement,1,0.020076850288554784,0.020076850288554784,L2_S27_F3144,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L2,L2_S28,raw_measurement,5,0.007347768301905726,0.0014695536603811453,L2_S28_F3248,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L3,L3_S49,raw_measurement,2,0.006772143353444298,0.003386071676722149,L3_S49_F4211,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L2,L2_S27,raw_measurement_missingness,1,0.0032398176127726957,0.0032398176127726957,L2_S27_F3144__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L1,L1_S24,raw_measurement_missingness,62,0.0027803875340692394,4.4844960226923216e-05,L1_S24_F1207__is_missing,Missingness / skipped measurement signal,"Review measurement distributions, tooling condition, calibration records, and recent process changes for this station."
L3,L3_S32,raw_measurement,15,0.002438069508213476,0.00016253796721423173,L3_S32_F3850,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L0,L0_S10,raw_measurement_missingness,18,0.001404531119633306,7.802950664629478e-05,L0_S10_F215__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
line_level,line_level,line_timing,3,0.0012075651167957262,0.00040252170559857537,line_count,Line-level timing signal,"Review cycle-time, waiting-time, and queue behavior for products following this path."
L3,L3_S38,raw_measurement_missingness,1,0.0008588950886117624,0.0008588950886117624,L3_S38_F3952__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L3,L3_S38,raw_measurement,1,0.0006837303195314216,0.0006837303195314216,L3_S38_F3952,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L1,L1_S25,raw_measurement_missingness,8,0.0005156547906645534,6.445684883306918e-05,L1_S25_F2960__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L3,L3_S49,raw_measurement_missingness,2,0.00044191360605586695,0.00022095680302793347,L3_S49_F4206__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L2,L2_S28,raw_measurement_missingness,5,2.699016303009509e-05,5.398032606019018e-06,L2_S28_F3259__is_missing,Missingness / skipped measurement signal,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
L0,L0_S10,raw_measurement,76,0.0,0.0,L0_S10_F258__eq_T48576,Numeric process measurement,"Check whether skipped measurements, sensor dropouts, or alternate routing through this station align with failures."
