feature,mean_abs_shap,mean_signed_shap,line,station,feature_family,model_importance,driver_rank,driver_type
start_time,0.19696799831907538,-0.003909270293832812,timing,timing_level,timing,512.0,1,Timing or delay signal
line_0_start_time,0.1144820564477132,0.010972401340375764,L0,line_level,line_timing,385.0,2,Line-level timing signal
line_3_end_time,0.09472544395775677,-0.0039770028635833414,L3,line_level,line_timing,88.0,3,Line-level timing signal
line_3_start_time,0.08286576912916405,-0.02710344274411696,L3,line_level,line_timing,264.0,4,Line-level timing signal
end_time,0.07627099903139474,0.012949280816973564,timing,timing_level,timing,474.0,5,Timing or delay signal
L3_S32_F3850__is_missing,0.06555429002091039,-0.015548728148805419,L3,L3_S32,raw_measurement_missingness,111.0,6,Missingness / skipped measurement signal
mean_waiting_time,0.04783857484770251,-0.020766203691638813,timing,timing_level,timing,875.0,7,Timing or delay signal
line_0_end_time,0.04612209113363654,-0.013111891733037454,L0,line_level,line_timing,184.0,8,Line-level timing signal
max_waiting_time,0.04382822662250216,0.017783485523900387,timing,timing_level,timing,772.0,9,Timing or delay signal
cycle_time,0.04321061972291579,-0.0020511106495366264,timing,timing_level,timing,732.0,10,Timing or delay signal
line_3_observed_date_values,0.03965662040567594,0.003055301056975864,L3,line_level,line_timing,134.0,11,Line-level timing signal
line_3_processing_duration,0.038698942642382814,0.0014423283769415692,L3,line_level,line_timing,723.0,12,Line-level timing signal
waiting_time,0.03634315874696266,-0.011749977832158795,timing,timing_level,timing,314.0,13,Timing or delay signal
line_3_station_count,0.02790840020407451,0.013907114409311317,L3,line_level,line_timing,130.0,14,Line-level timing signal
line_0_processing_duration,0.026870847712835367,0.0005053241780507659,L0,line_level,line_timing,495.0,15,Line-level timing signal
path_complexity_score,0.022786843076717248,0.019431471393663934,path,path_level,path_or_family,135.0,16,Manufacturing path signal
line_2_start_time,0.022172595173950434,0.0007322776949727811,L2,line_level,line_timing,299.0,17,Line-level timing signal
L1_S24_F1844,0.020868080926770765,-0.0010405407511225287,L1,L1_S24,raw_measurement,237.0,18,Numeric process measurement
delay_ratio,0.02075982186752844,0.0011912892602786607,timing,timing_level,timing,406.0,19,Timing or delay signal
line_1_end_time,0.020270004985413287,-0.0017999417571425817,L1,line_level,line_timing,131.0,20,Line-level timing signal
L2_S27_F3144,0.020076850288554784,-0.0014935365482130975,L2,L2_S27,raw_measurement,330.0,21,Numeric process measurement
