station,in_degree,out_degree,weighted_inflow,weighted_outflow
L3_S29,25,9,2237105,2239065
L3_S30,21,8,2237113,2239366
L0_S0,0,5,0,1348366
L0_S1,1,8,1346767,1348431
L3_S34,12,6,2230053,2207703
L3_S33,12,6,2229189,2093661
L0_S2,2,8,679161,679166
L0_S6,6,8,678630,678635
L0_S8,9,17,1348383,1348383
L0_S3,3,7,670397,670401
L0_S7,6,8,671357,671360
L3_S37,10,6,2240647,1022189
L0_S12,7,7,200027,484476
L0_S13,6,9,484476,484481
L3_S35,9,6,1104219,887932
L3_S36,11,5,1137894,540072
L0_S9,8,21,451406,451406
L0_S11,7,23,451117,451117
L0_S10,8,22,449427,449427
L0_S5,7,7,679592,679598
L0_S4,6,9,670600,670603
L2_S26,14,22,454207,454340
L1_S24,10,17,5833,366579
L2_S27,13,19,239227,240284
L0_S14,3,9,145899,241740
L0_S20,12,17,484549,484572
L0_S21,6,20,162998,163004
L0_S23,7,17,160910,160915
L0_S22,7,18,161039,161043
L0_S15,4,9,140069,242734
L0_S17,11,9,245950,245962
L0_S16,7,11,238707,238719
L0_S18,11,20,242305,242318
L0_S19,11,19,242242,242253
L3_S40,20,9,119647,120033
L3_S41,17,10,120024,120024
L3_S39,22,8,119768,120019
L1_S25,11,13,1333,167220
L3_S31,12,8,78238,78238
L3_S43,17,8,61130,61130
L3_S45,19,10,120075,120075
L3_S48,13,6,120048,119977
L3_S50,9,3,60694,60461
L3_S47,14,6,120104,119985
L3_S49,8,4,59569,59311
L3_S51,8,4,119927,416
L3_S44,20,9,59795,59795
L3_S32,10,6,48678,47205
L3_S38,22,0,53959,0
L2_S28,14,9,18859,19153
L3_S42,2,5,35,35
L3_S46,1,1,1,1
