split,station,product_count,dwell_sum,avg_dwell,median_dwell,p90_dwell,failure_count,labeled_count,inbound_transition_count,inbound_wait_sum,positive_wait_count,avg_waiting_time,median_waiting_time,p90_waiting_time,max_waiting_time,positive_wait_rate,failure_rate_pct
train,L0_S0,673862,0.0,0.0,0.0,0.0,3608.0,673862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5354211989992017
train,L0_S1,673904,0.0,0.0,0.0,0.0,3606.0,673904.0,673063.0,968.6788330078125,50939.0,0.0014392097915442955,0.0,0.0,1.67834799208971,0.07568236554379011,0.5350910515444336
train,L0_S10,224540,0.0,0.0,0.0,0.0,1223.0,224540.0,224540.0,513.1192626953125,41185.0,0.01893267861092852,0.006395371407663221,0.04623140697988922,0.5515037649783149,0.18341943528992607,0.5446691012737152
train,L0_S11,225452,0.0,0.0,0.0,0.0,1193.0,225452.0,225452.0,542.1036896705627,43451.0,0.02105544223262821,0.012405129723115468,0.04287968308645438,0.4538390524044234,0.19272838564306372,0.5291592001845182
train,L0_S12,242061,0.0,0.0,0.0,0.0,1323.0,242061.0,100210.0,8903.779296875,201.0,21.82098110369421,20.07669982146391,29.70623178406859,78.98687860563204,0.002005787845524399,0.5465564465155478
train,L0_S13,242065,0.0,0.0,0.0,0.0,1323.0,242065.0,242061.0,22940.256408691406,59537.0,18.58055135646953,14.074836046118941,31.77417638814524,82.05390442204354,0.24595866331214034,0.5465474149505298
train,L0_S14,120625,0.0,0.0,0.0,0.0,681.0,120625.0,72722.0,849.1909503936768,46421.0,8.67416207233936,8.673470655533498,8.674156918711082,26.0,0.6383350292896235,0.564559585492228
train,L0_S15,121445,0.0,0.0,0.0,0.0,640.0,121445.0,69932.0,634.6871280670166,42280.0,3.171994749745705,3.136851189656,3.238501215045505,12.5,0.6045873133901505,0.5269875252171765
train,L0_S16,119139,0.0,0.0,0.0,0.0,661.0,119139.0,119134.0,2785.539670944214,118874.0,0.01429103103120617,0.010027688613125462,0.017102907683490095,2.7827608011024756,0.9978175835613678,0.5548141246778973
train,L0_S17,123027,0.0,0.0,0.0,0.0,662.0,123027.0,123021.0,2849.550636291504,122712.0,0.01805926854040124,0.014319429110458814,0.022877883094203712,2.732703728871906,0.9974882337161948,0.5380932640802426
train,L0_S18,121081,0.0,0.0,0.0,0.0,654.0,121081.0,121073.0,218.6537971496582,9703.0,0.013481537721413955,0.012570854081521863,0.015284225458361743,0.7623698042447222,0.0801417326736762,0.540134290268498
train,L0_S19,121027,0.0,0.0,0.0,0.0,669.0,121027.0,121023.0,196.48831367492676,9750.0,0.01042059788724777,0.009303542749342102,0.013629499438965475,0.6880989229645152,0.08056319873081977,0.552769216786337
