candidate_route,station_count,route_score,minimum_transition_count,mean_transition_count,mean_transition_failure_rate_pct,mean_station_critical_score,start_station,end_station,propagation_rank
L3_S29>L3_S30>L3_S33>L3_S34,4,51.722255532807914,965844,1302650.0,0.5069874921828726,47.73562140442846,L3_S29,L3_S34,1
L3_S29>L3_S30>L3_S33>L3_S37,4,50.805061924916515,654274,1198793.3333333333,0.5204619259205414,46.87597944447497,L3_S29,L3_S37,2
L1_S24>L3_S29>L3_S30>L3_S33,4,50.2815733011498,25747,989284.3333333334,0.7435530209728339,51.25205043434959,L1_S24,L3_S33,3
L1_S24>L2_S26>L3_S29>L3_S30>L3_S33>L3_S34,6,50.08827563005599,243524,881877.6,0.6296856112207151,48.10235943373208,L1_S24,L3_S34,4
L1_S24>L2_S26>L3_S29>L3_S30,4,50.07434969768877,243524,824211.3333333334,0.7339398738305433,49.492210986097405,L1_S24,L3_S30,5
L2_S26>L3_S29>L3_S30>L3_S33,4,49.894337723820016,257914,1066673.3333333333,0.6101724600236159,45.62811476589072,L2_S26,L3_S33,6
L1_S24>L3_S29>L3_S30>L3_S33>L3_S34>L3_S37,6,49.68744122506119,25747,891670.2,0.6355420724110508,48.93426921945491,L1_S24,L3_S37,7
L3_S29>L3_S30>L3_S34>L3_S37,4,49.57211405681817,264184,920011.3333333334,0.5764929085932506,47.22364663476052,L3_S29,L3_S37,8
L1_S24>L2_S26>L3_S29>L3_S30>L3_S33>L3_S37,6,49.51217020652254,243524,819563.6,0.6377702714633164,47.52926479376308,L1_S24,L3_S37,9
L1_S24>L3_S29>L3_S30>L3_S32,4,49.42664040900115,25747,676988.3333333334,2.040015805980754,52.81946830328121,L1_S24,L3_S32,10
L2_S27>L3_S29>L3_S30>L3_S33,4,49.385126246711984,160922,1034342.6666666666,0.5989325159478482,45.570296886274186,L2_S27,L3_S33,11
L2_S26>L3_S29>L3_S30>L3_S33>L3_S34>L3_S37,6,49.28638180860956,257914,938103.6,0.5555137358415199,45.184978773815665,L2_S26,L3_S37,12
L3_S29>L3_S30>L3_S33>L3_S36,4,49.27861498974955,430479,1124195.0,0.5363193423881628,45.09591112273564,L3_S29,L3_S36,13
L1_S24>L3_S29>L3_S30>L3_S34,4,49.27808795880198,25747,753709.0,0.807708383281596,51.59971762463514,L1_S24,L3_S34,14
L1_S24>L2_S27>L3_S29>L3_S30>L3_S33>L3_S34,6,49.125011535018984,88940,831562.4,0.5819950437937967,48.06381418065439,L1_S24,L3_S34,15
L3_S29>L3_S30>L3_S33>L3_S34>L3_S35>L3_S32,6,49.105662339060544,972,875693.4,3.052610719918401,46.4367315815019,L3_S29,L3_S32,16
L2_S26>L3_S29>L3_S30>L3_S32,4,49.039404831671376,34022,754377.3333333334,1.906635245031536,47.19553263482234,L2_S26,L3_S32,17
L1_S24>L3_S29>L3_S30>L3_S33>L3_S34>L3_S35,6,49.03184013374813,25747,880648.4,0.6399923097350394,47.96785048235194,L1_S24,L3_S35,18
