source,target,relationship,weight,transition_count,failure_evidence
line:L0,station:L0_S0,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S1,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S10,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S11,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S12,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S13,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S14,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S15,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S16,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S17,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S18,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S19,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S2,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S20,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S21,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S22,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S23,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S3,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S4,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S5,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S6,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S7,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S8,CONTAINS_STATION,1.0,0.0,0.0
line:L0,station:L0_S9,CONTAINS_STATION,1.0,0.0,0.0
line:L1,station:L1_S24,CONTAINS_STATION,1.0,0.0,0.0
line:L1,station:L1_S25,CONTAINS_STATION,1.0,0.0,0.0
line:L2,station:L2_S26,CONTAINS_STATION,1.0,0.0,0.0
line:L2,station:L2_S27,CONTAINS_STATION,1.0,0.0,0.0
line:L2,station:L2_S28,CONTAINS_STATION,1.0,0.0,0.0
