node_id,node_type,label,line,station,critical_score,evidence_value
failure:Response_1,failure,Failure (Response=1),,,100.0,1.0
line:L0,line,L0,L0,,39.598369490820026,12839110.0
line:L1,line,L1,L1,,60.08370682925705,533803.0
line:L2,line,L2,L2,,37.58796415542159,713782.0
line:L3,line,L3,L3,,52.954250590882715,14683014.0
station:L0_S0,station,L0_S0,L0,L0_S0,22.169572908025064,1348366.0
station:L0_S1,station,L0_S1,L0,L0_S1,25.023393578830998,1348431.0
station:L0_S10,station,L0_S10,L0,L0_S10,21.998503857427863,449427.0
station:L0_S11,station,L0_S11,L0,L0_S11,23.370051048818468,451117.0
station:L0_S12,station,L0_S12,L0,L0_S12,33.72007876676928,484476.0
station:L0_S13,station,L0_S13,L0,L0_S13,39.598369490820026,484481.0
station:L0_S14,station,L0_S14,L0,L0_S14,28.365353619819206,241740.0
station:L0_S15,station,L0_S15,L0,L0_S15,25.246800246621437,242734.0
station:L0_S16,station,L0_S16,L0,L0_S16,24.083545014624104,238719.0
station:L0_S17,station,L0_S17,L0,L0_S17,30.59654350400951,245962.0
station:L0_S18,station,L0_S18,L0,L0_S18,24.24734443866294,242318.0
station:L0_S19,station,L0_S19,L0,L0_S19,23.483074888340127,242253.0
station:L0_S2,station,L0_S2,L0,L0_S2,24.86491153735762,679166.0
station:L0_S20,station,L0_S20,L0,L0_S20,27.643205221565214,484572.0
station:L0_S21,station,L0_S21,L0,L0_S21,21.461087749415626,163004.0
station:L0_S22,station,L0_S22,L0,L0_S22,21.08882807557611,161043.0
station:L0_S23,station,L0_S23,L0,L0_S23,21.06621194661725,160915.0
station:L0_S3,station,L0_S3,L0,L0_S3,22.672529510128903,670401.0
station:L0_S4,station,L0_S4,L0,L0_S4,25.97201647632622,670603.0
station:L0_S5,station,L0_S5,L0,L0_S5,32.11465426637383,679598.0
station:L0_S6,station,L0_S6,L0,L0_S6,24.389873660159935,678635.0
station:L0_S7,station,L0_S7,L0,L0_S7,24.766094630821645,671360.0
station:L0_S8,station,L0_S8,L0,L0_S8,30.2307110886067,1348383.0
station:L0_S9,station,L0_S9,L0,L0_S9,31.06692539200939,451406.0
station:L1_S24,station,L1_S24,L1,L1_S24,60.08370682925705,366583.0
station:L1_S25,station,L1_S25,L1,L1_S25,42.7627268746652,167220.0
station:L2_S26,station,L2_S26,L2,L2_S26,37.58796415542159,454344.0
station:L2_S27,station,L2_S27,L2,L2_S27,37.35669263695544,240285.0
station:L2_S28,station,L2_S28,L2,L2_S28,32.139686195848846,19153.0
station:L3_S29,station,L3_S29,L3,L3_S29,52.954250590882715,2239066.0
station:L3_S30,station,L3_S30,L3,L3_S30,47.342922368828255,2239366.0
station:L3_S31,station,L3_S31,L3,L3_S31,27.588266845626624,78238.0
station:L3_S32,station,L3_S32,L3,L3_S32,50.89699342415681,48678.0
station:L3_S33,station,L3_S33,L3,L3_S33,44.62732194843034,2229189.0
station:L3_S34,station,L3_S34,L3,L3_S34,46.01799070957253,2230053.0
station:L3_S35,station,L3_S35,L3,L3_S35,36.78091044714079,1104221.0
station:L3_S36,station,L3_S36,L3,L3_S36,35.459149582801274,1137914.0
station:L3_S37,station,L3_S37,L3,L3_S37,42.57942286975859,2240660.0
station:L3_S38,station,L3_S38,L3,L3_S38,38.5197086476702,54175.0
station:L3_S39,station,L3_S39,L3,L3_S39,44.23614421572267,120019.0
station:L3_S40,station,L3_S40,L3,L3_S40,29.01182214092575,120033.0
station:L3_S41,station,L3_S41,L3,L3_S41,30.80768306879993,120024.0
station:L3_S42,station,L3_S42,L3,L3_S42,7.9143797189286325,35.0
station:L3_S43,station,L3_S43,L3,L3_S43,30.51037407096016,61130.0
station:L3_S44,station,L3_S44,L3,L3_S44,28.06297494025971,59795.0
station:L3_S45,station,L3_S45,L3,L3_S45,31.15870325761698,120075.0
station:L3_S46,station,L3_S46,L3,L3_S46,0.0,1.0
station:L3_S47,station,L3_S47,L3,L3_S47,34.91830197956345,120104.0
station:L3_S48,station,L3_S48,L3,L3_S48,29.987433745275816,120048.0
station:L3_S49,station,L3_S49,L3,L3_S49,25.40277260844731,59569.0
station:L3_S50,station,L3_S50,L3,L3_S50,26.866046520078708,60694.0
station:L3_S51,station,L3_S51,L3,L3_S51,25.10476275153726,119927.0
feature:L0_S0_D1,feature,L0_S0_D1,L0,L0_S0,0.0,0.0
feature:L0_S0_D11,feature,L0_S0_D11,L0,L0_S0,0.0,0.0
feature:L0_S0_D13,feature,L0_S0_D13,L0,L0_S0,0.0,0.0
feature:L0_S0_D15,feature,L0_S0_D15,L0,L0_S0,0.0,0.0
feature:L0_S0_D17,feature,L0_S0_D17,L0,L0_S0,0.0,0.0
feature:L0_S0_D19,feature,L0_S0_D19,L0,L0_S0,0.0,0.0
feature:L0_S0_D21,feature,L0_S0_D21,L0,L0_S0,0.0,0.0
feature:L0_S0_D23,feature,L0_S0_D23,L0,L0_S0,0.0,0.0
feature:L0_S0_D3,feature,L0_S0_D3,L0,L0_S0,0.0,0.0
feature:L0_S0_D5,feature,L0_S0_D5,L0,L0_S0,0.0,0.0
feature:L0_S0_D7,feature,L0_S0_D7,L0,L0_S0,0.0,0.0
feature:L0_S0_D9,feature,L0_S0_D9,L0,L0_S0,0.0,0.0
